year,iso3c,smod,pop_WPP2022,country
1965,DEU,Urban cluster,29.08129583412054,Germany
1970,DEU,Urban centre,25.675414051920907,Germany
1970,DEU,Rural grid cells,22.281294757636466,Germany
1970,DEU,Urban cluster,30.216428190442635,Germany
1975,DEU,Urban centre,25.99107196060763,Germany
1975,DEU,Rural grid cells,22.298444928420444,Germany
1975,DEU,Urban cluster,30.296963110971916,Germany
1980,DEU,Urban centre,25.587127547367867,Germany
1980,DEU,Rural grid cells,22.279444010136533,Germany
1980,DEU,Urban cluster,29.976439442495604,Germany
1985,DEU,Urban centre,25.003451675150036,Germany
1985,DEU,Rural grid cells,22.351292244029644,Germany
1985,DEU,Urban cluster,30.23254608082032,Germany
1990,DEU,Urban centre,26.13693109788664,Germany
1990,DEU,Rural grid cells,22.529216401753303,Germany
1990,DEU,Urban cluster,30.47707050036006,Germany
1995,DEU,Urban centre,26.956831266720144,Germany
1995,DEU,Rural grid cells,22.671964145687742,Germany
1995,DEU,Urban cluster,31.39173958759211,Germany
2000,DEU,Urban centre,26.6471066703417,Germany
2000,DEU,Rural grid cells,22.64243387262612,Germany
2000,DEU,Urban cluster,32.27205745703217,Germany
2005,DEU,Urban centre,26.491701026613104,Germany
2005,DEU,Rural grid cells,22.575059768379855,Germany
2005,DEU,Urban cluster,32.17243820500703,Germany
2010,DEU,Urban centre,26.840029562990104,Germany
2010,DEU,Rural grid cells,22.448405726090208,Germany
2010,DEU,Urban cluster,31.99499571091968,Germany
2015,DEU,Urban centre,27.276241595583784,Germany
2015,DEU,Rural grid cells,22.510495931158104,Germany
2015,DEU,Urban cluster,32.18085347325811,Germany
2020,DEU,Urban centre,28.872480294155384,Germany
2020,DEU,Rural grid cells,22.441362957230613,Germany
2020,DEU,Urban cluster,31.953811748613997,Germany
1950,DJI,Rural grid cells,0.034254463451350275,Djibouti
1950,DJI,Urban cluster,0.027106536548649716,Djibouti
1955,DJI,Rural grid cells,0.038407163218095376,Djibouti
1955,DJI,Urban cluster,0.03343183678190463,Djibouti
1960,DJI,Rural grid cells,0.04277582041552914,Djibouti
1960,DJI,Urban cluster,0.041588179584470863,Djibouti
1965,DJI,Rural grid cells,0.04883987033611334,Djibouti
1965,DJI,Urban cluster,0.05692912966388666,Djibouti
1970,DJI,Rural grid cells,0.0570593918180247,Djibouti
1970,DJI,Urban cluster,0.0827466081819753,Djibouti
1975,DJI,Urban centre,0.07240648066257971,Djibouti
1975,DJI,Rural grid cells,0.06977085551649319,Djibouti
1975,DJI,Urban cluster,0.056918663820927105,Djibouti
1980,DJI,Urban centre,0.10338667814536688,Djibouti
1980,DJI,Rural grid cells,0.07933433596197235,Djibouti
1980,DJI,Urban cluster,0.13176498589266078,Djibouti
1985,DJI,Urban centre,0.20733380526797862,Djibouti
1985,DJI,Rural grid cells,0.07423950541464702,Djibouti
1985,DJI,Urban cluster,0.10863268931737437,Djibouti
1990,DJI,Urban centre,0.32937447512975226,Djibouti
1990,DJI,Rural grid cells,0.0715825178067935,Djibouti
1990,DJI,Urban cluster,0.1437620070634542,Djibouti
1995,DJI,Urban centre,0.40378423512125355,Djibouti
1995,DJI,Rural grid cells,0.06353849839323687,Djibouti
1995,DJI,Urban cluster,0.1561502664855096,Djibouti
2000,DJI,Urban centre,0.5560726058555843,Djibouti
2000,DJI,Rural grid cells,0.07317433647794884,Djibouti
2000,DJI,Urban cluster,0.10169305766646694,Djibouti
2005,DJI,Urban centre,0.6179946512178861,Djibouti
2005,DJI,Rural grid cells,0.07797848889459162,Djibouti
2005,DJI,Urban cluster,0.1283518598875223,Djibouti
2010,DJI,Urban centre,0.7323846401615497,Djibouti
2010,DJI,Rural grid cells,0.08729531486549162,Djibouti
2010,DJI,Urban cluster,0.09065104497295866,Djibouti
2015,DJI,Urban centre,0.7923629878376801,Djibouti
2015,DJI,Rural grid cells,0.10109498954280248,Djibouti
2015,DJI,Urban cluster,0.10425002261951735,Djibouti
2020,DJI,Urban centre,0.8750932958893068,Djibouti
2020,DJI,Rural grid cells,0.10894110116835294,Djibouti
2020,DJI,Urban cluster,0.09830960294234026,Djibouti
1950,DMA,Rural grid cells,0.030111095583318082,Dominica
1950,DMA,Urban cluster,0.019998904416681913,Dominica
1955,DMA,Rural grid cells,0.030897677389754925,Dominica
1955,DMA,Urban cluster,0.020539322610245072,Dominica
1960,DMA,Rural grid cells,0.03353854968574994,Dominica
1960,DMA,Urban cluster,0.025241450314250062,Dominica
1965,DMA,Rural grid cells,0.03517784642783059,Dominica
1965,DMA,Urban cluster,0.02808315357216942,Dominica
1970,DMA,Rural grid cells,0.036987661672450683,Dominica
1970,DMA,Urban cluster,0.03158933832754933,Dominica
1975,DMA,Rural grid cells,0.03804318645768073,Dominica
1975,DMA,Urban cluster,0.03302481354231928,Dominica
1980,DMA,Rural grid cells,0.039599820325036034,Dominica
1980,DMA,Urban cluster,0.03330117967496397,Dominica
1985,DMA,Rural grid cells,0.044703987972880006,Dominica
1985,DMA,Urban cluster,0.027073012027119977,Dominica
1990,DMA,Rural grid cells,0.04821939075531653,Dominica
1990,DMA,Urban cluster,0.021537609244683457,Dominica
1995,DMA,Rural grid cells,0.047303850848630924,Dominica
1995,DMA,Urban cluster,0.02190214915136909,Dominica
2000,DMA,Rural grid cells,0.046063366488834495,Dominica
2000,DMA,Urban cluster,0.022480633511165506,Dominica
2005,DMA,Rural grid cells,0.04560448617528907,Dominica
2005,DMA,Urban cluster,0.023025513824710936,Dominica
2010,DMA,Rural grid cells,0.04533645995977774,Dominica
2010,DMA,Urban cluster,0.02345554004022225,Dominica
2015,DMA,Rural grid cells,0.04071435080547728,Dominica
2015,DMA,Urban cluster,0.02940164919452272,Dominica
2020,DMA,Rural grid cells,0.04098070363056669,Dominica
2020,DMA,Urban cluster,0.030783296369433305,Dominica
1950,DNK,Urban centre,0.9558483108867825,Denmark
1950,DNK,Rural grid cells,1.806586933107763,Denmark
1950,DNK,Urban cluster,1.4890907560054543,Denmark
1955,DNK,Urban centre,1.0319927857656814,Denmark
1955,DNK,Rural grid cells,1.8350319748499015,Denmark
1955,DNK,Urban cluster,1.5428662393844172,Denmark
1960,DNK,Urban centre,1.1089899338929752,Denmark
1960,DNK,Rural grid cells,1.8613671285130626,Denmark
1960,DNK,Urban cluster,1.5959749375939625,Denmark
1965,DNK,Urban centre,1.1908018486838456,Denmark
1965,DNK,Rural grid cells,1.886944688854172,Denmark
1965,DNK,Urban cluster,1.6589054624619823,Denmark
1970,DNK,Urban centre,1.273629894212912,Denmark
1970,DNK,Rural grid cells,1.9106703600544748,Denmark
1970,DNK,Urban cluster,1.7252237457326136,Denmark
1975,DNK,Urban centre,1.341981557773035,Denmark
1975,DNK,Rural grid cells,1.9292008404180296,Denmark
1975,DNK,Urban cluster,1.7743856018089357,Denmark
1980,DNK,Urban centre,1.266713696838916,Denmark
1980,DNK,Rural grid cells,1.9917677955099409,Denmark
1980,DNK,Urban cluster,1.8649835076511425,Denmark
1985,DNK,Urban centre,1.2864338038700533,Denmark
1985,DNK,Rural grid cells,2.0013806037307393,Denmark
1985,DNK,Urban cluster,1.8323045923992078,Denmark
1990,DNK,Urban centre,1.3056073713182206,Denmark
1990,DNK,Rural grid cells,2.0069104592440627,Denmark
1990,DNK,Urban cluster,1.8261941694377162,Denmark
1995,DNK,Urban centre,1.288706166148415,Denmark
1995,DNK,Rural grid cells,2.0251846629045076,Denmark
1995,DNK,Urban cluster,1.9109801709470775,Denmark
2000,DNK,Urban centre,1.305020540795335,Denmark
2000,DNK,Rural grid cells,2.0369107596874794,Denmark
2000,DNK,Urban cluster,1.9880626995171848,Denmark
2005,DNK,Urban centre,1.4336252136170191,Denmark
2005,DNK,Rural grid cells,2.043057408465641,Denmark
2005,DNK,Urban cluster,1.9489923779173395,Denmark
2010,DNK,Urban centre,1.5414494659994846,Denmark
2010,DNK,Rural grid cells,2.0399647806356636,Denmark
2010,DNK,Urban cluster,1.956652753364851,Denmark
2015,DNK,Urban centre,1.650676493930211,Denmark
2015,DNK,Rural grid cells,2.0258231448279522,Denmark
2015,DNK,Urban cluster,1.9875533612418363,Denmark
2020,DNK,Urban centre,1.7598436690669728,Denmark
2020,DNK,Rural grid cells,2.041674297053323,Denmark
2020,DNK,Urban cluster,2.0092600338797046,Denmark
1950,DOM,Urban centre,0.5870135770080208,Dominican Republic
1950,DOM,Rural grid cells,0.9032046351756403,Dominican Republic
1950,DOM,Urban cluster,0.8555987878163387,Dominican Republic
1955,DOM,Urban centre,0.7710026740500833,Dominican Republic
1955,DOM,Rural grid cells,0.9776327775942362,Dominican Republic
1955,DOM,Urban cluster,0.9962355483556806,Dominican Republic
1960,DOM,Urban centre,1.0178281066877286,Dominican Republic
1960,DOM,Rural grid cells,1.0543760204143342,Dominican Republic
1960,DOM,Urban cluster,1.171242872897937,Dominican Republic
1965,DOM,Urban centre,1.3232860187921023,Dominican Republic
1965,DOM,Rural grid cells,1.127048808158496,Dominican Republic
1965,DOM,Urban cluster,1.3607861730494017,Dominican Republic
1970,DOM,Urban centre,1.675667061565931,Dominican Republic
1970,DOM,Rural grid cells,1.1919634309968492,Dominican Republic
1970,DOM,Urban cluster,1.54647750743722,Dominican Republic
1975,DOM,Urban centre,2.0701627603107715,Dominican Republic
1975,DOM,Rural grid cells,1.2493903286486117,Dominican Republic
1975,DOM,Urban cluster,1.722798911040617,Dominican Republic
1980,DOM,Urban centre,2.6265947460650665,Dominican Republic
1980,DOM,Rural grid cells,1.3076186925292703,Dominican Republic
1980,DOM,Urban cluster,1.7566965614056633,Dominican Republic
1985,DOM,Urban centre,3.094980120055275,Dominican Republic
1985,DOM,Rural grid cells,1.3605335096966045,Dominican Republic
1985,DOM,Urban cluster,1.8944273702481202,Dominican Republic
1990,DOM,Urban centre,3.418197335537761,Dominican Republic
1990,DOM,Rural grid cells,1.4537946210115735,Dominican Republic
1990,DOM,Urban cluster,2.182104043450665,Dominican Republic
1995,DOM,Urban centre,4.06870657380449,Dominican Republic
1995,DOM,Rural grid cells,1.4650168286171417,Dominican Republic
1995,DOM,Urban cluster,2.2637845975783684,Dominican Republic
2000,DOM,Urban centre,4.673001068215759,Dominican Republic
2000,DOM,Rural grid cells,1.4418136929210685,Dominican Republic
2000,DOM,Urban cluster,2.3612052388631724,Dominican Republic
2005,DOM,Urban centre,5.289563586721129,Dominican Republic
2005,DOM,Rural grid cells,1.4767253757373173,Dominican Republic
2005,DOM,Urban cluster,2.337947037541555,Dominican Republic
2010,DOM,Urban centre,5.8045518199779105,Dominican Republic
2010,DOM,Rural grid cells,1.475781922099986,Dominican Republic
2010,DOM,Urban cluster,2.4312692579221045,Dominican Republic
2015,DOM,Urban centre,6.393141811079924,Dominican Republic
2015,DOM,Rural grid cells,1.566790595765238,Dominican Republic
2015,DOM,Urban cluster,2.3843935931548375,Dominican Republic
2020,DOM,Urban centre,6.714341589451507,Dominican Republic
2020,DOM,Rural grid cells,1.5845379720850652,Dominican Republic
2020,DOM,Urban cluster,2.640467438463426,Dominican Republic
1950,DZA,Urban centre,1.3048650343814339,Algeria
1950,DZA,Rural grid cells,4.636041732951116,Algeria
1950,DZA,Urban cluster,2.951885232667449,Algeria
1955,DZA,Urban centre,1.6711280362471124,Algeria
1955,DZA,Rural grid cells,5.015085437070597,Algeria
1955,DZA,Urban cluster,3.44037452668229,Algeria
1960,DZA,Urban centre,2.0611567418089076,Algeria
1960,DZA,Rural grid cells,5.349230540429923,Algeria
1960,DZA,Urban cluster,3.8690837177611686,Algeria
1965,DZA,Urban centre,2.4473348385159337,Algeria
1965,DZA,Rural grid cells,5.63369307966796,Algeria
1965,DZA,Urban cluster,4.206715081816107,Algeria
1970,DZA,Urban centre,2.9694762571927904,Algeria
1970,DZA,Rural grid cells,5.956366365746622,Algeria
1970,DZA,Urban cluster,4.716461377060587,Algeria
1975,DZA,Urban centre,3.656595214682923,Algeria
1975,DZA,Rural grid cells,6.307345005643155,Algeria
1975,DZA,Urban cluster,5.378806779673923,Algeria
1980,DZA,Urban centre,4.641545851039601,Algeria
1980,DZA,Rural grid cells,7.068515393845135,Algeria
1980,DZA,Urban cluster,6.732597755115264,Algeria
1985,DZA,Urban centre,5.69795144261062,Algeria
1985,DZA,Rural grid cells,7.669755974071151,Algeria
1985,DZA,Urban cluster,8.38870858331823,Algeria
1990,DZA,Urban centre,7.008229437123106,Algeria
1990,DZA,Rural grid cells,8.274526022942908,Algeria
1990,DZA,Urban cluster,9.926711539933986,Algeria
1995,DZA,Urban centre,8.551728110206808,Algeria
1995,DZA,Rural grid cells,8.374739885695726,Algeria
1995,DZA,Urban cluster,11.294365004097465,Algeria
2000,DZA,Urban centre,10.10237703894162,Algeria
2000,DZA,Rural grid cells,8.31562385660867,Algeria
2000,DZA,Urban cluster,12.14283210444971,Algeria
2005,DZA,Urban centre,11.676014355826982,Algeria
2005,DZA,Rural grid cells,8.292767082805899,Algeria
2005,DZA,Urban cluster,12.77565256136712,Algeria
2010,DZA,Urban centre,13.58230206252905,Algeria
2010,DZA,Rural grid cells,8.343022569474604,Algeria
2010,DZA,Urban cluster,13.594006367996345,Algeria
2015,DZA,Urban centre,15.871387433459136,Algeria
2015,DZA,Rural grid cells,8.527570657542363,Algeria
2015,DZA,Urban cluster,14.747521908998497,Algeria
2020,DZA,Urban centre,18.22552536241659,Algeria
2020,DZA,Rural grid cells,8.769745646804601,Algeria
2020,DZA,Urban cluster,16.095715990778807,Algeria
1950,ECU,Urban centre,0.7763466329507788,Ecuador
1950,ECU,Rural grid cells,1.582648989977999,Ecuador
1950,ECU,Urban cluster,1.1131893770712218,Ecuador
1955,ECU,Urban centre,0.9789290213441826,Ecuador
1955,ECU,Rural grid cells,1.7315309251235895,Ecuador
1955,ECU,Urban cluster,1.257488053532228,Ecuador
1960,ECU,Urban centre,1.2355676209748436,Ecuador
1960,ECU,Rural grid cells,1.8903021241222673,Ecuador
1960,ECU,Urban cluster,1.4270972549028893,Ecuador
1965,ECU,Urban centre,1.5660275459831585,Ecuador
1965,ECU,Rural grid cells,2.060300462607477,Ecuador
1965,ECU,Urban cluster,1.6327559914093648,Ecuador
1970,ECU,Urban centre,1.9784386773784712,Ecuador
1970,ECU,Rural grid cells,2.2370461871821243,Ecuador
1970,ECU,Urban cluster,1.8682531354394047,Ecuador
1975,ECU,Urban centre,2.4719746037252497,Ecuador
1975,ECU,Rural grid cells,2.4152619114117457,Ecuador
1975,ECU,Urban cluster,2.1201864848630048,Ecuador
1980,ECU,Urban centre,2.98266253453921,Ecuador
1980,ECU,Rural grid cells,2.6443793901625248,Ecuador
1980,ECU,Urban cluster,2.401283075298265,Ecuador
1985,ECU,Urban centre,3.72509807643771,Ecuador
1985,ECU,Rural grid cells,2.897366060747161,Ecuador
1985,ECU,Urban cluster,2.5151218628151297,Ecuador
1990,ECU,Urban centre,4.50922558783209,Ecuador
1990,ECU,Rural grid cells,3.182941546911338,Ecuador
1990,ECU,Urban cluster,2.6382248652565723,Ecuador
1995,ECU,Urban centre,5.267511424388255,Ecuador
1995,ECU,Rural grid cells,3.262799742790585,Ecuador
1995,ECU,Urban cluster,2.9245038328211597,Ecuador
2000,ECU,Urban centre,6.0353265004092975,Ecuador
2000,ECU,Rural grid cells,3.305689828051881,Ecuador
2000,ECU,Urban cluster,3.177472671538823,Ecuador
2005,ECU,Urban centre,6.866999349987401,Ecuador
2005,ECU,Rural grid cells,3.433009841002257,Ecuador
2005,ECU,Urban cluster,3.3515068090103433,Ecuador
2010,ECU,Urban centre,7.568296793452063,Ecuador
2010,ECU,Rural grid cells,3.583548084901791,Ecuador
2010,ECU,Urban cluster,3.7141481216461463,Ecuador
2015,ECU,Urban centre,8.440658383558109,Ecuador
2015,ECU,Rural grid cells,3.7306285277434323,Ecuador
2015,ECU,Urban cluster,3.9042100886984583,Ecuador
2020,ECU,Urban centre,9.550150879622239,Ecuador
2020,ECU,Rural grid cells,3.930795093404371,Ecuador
2020,ECU,Urban cluster,4.006217026973393,Ecuador
1950,EGY,Urban centre,6.508204392477531,Egypt
1950,EGY,Rural grid cells,3.3977826187792353,Egypt
1950,EGY,Urban cluster,11.02283298874323,Egypt
1955,EGY,Urban centre,7.940690614652996,Egypt
1955,EGY,Rural grid cells,3.476259472064459,Egypt
1955,EGY,Urban cluster,12.121874913282545,Egypt
1960,EGY,Urban centre,9.7171187427406025,Egypt
1960,EGY,Rural grid cells,3.539909807180705,Egypt
1960,EGY,Urban cluster,13.426894450078692,Egypt
1965,EGY,Urban centre,11.89749232195632,Egypt
1965,EGY,Rural grid cells,3.5875379044160494,Egypt
1965,EGY,Urban cluster,14.935780773627627,Egypt
1970,EGY,Urban centre,14.363391758705864,Egypt
1970,EGY,Rural grid cells,3.619932859945625,Egypt
1970,EGY,Urban cluster,16.40601838134851,Egypt
1975,EGY,Urban centre,17.009484919776053,Egypt
1975,EGY,Rural grid cells,3.64001379816354,Egypt
1975,EGY,Urban cluster,17.693923282060403,Egypt
1980,EGY,Urban centre,19.97111969926433,Egypt
1980,EGY,Rural grid cells,3.5281171907036817,Egypt
1980,EGY,Urban cluster,19.676763110031988,Egypt
1985,EGY,Urban centre,23.409633302903636,Egypt
1985,EGY,Rural grid cells,3.5011253613924342,Egypt
1985,EGY,Urban cluster,22.434058335703924,Egypt
1990,EGY,Urban centre,28.06160929922753,Egypt
1990,EGY,Rural grid cells,3.391242912647514,Egypt
1990,EGY,Urban cluster,25.04282178812496,Egypt
1995,EGY,Urban centre,33.46571158226285,Egypt
1995,EGY,Rural grid cells,3.2761598354318817,Egypt
1995,EGY,Urban cluster,26.735229582305262,Egypt
2000,EGY,Urban centre,39.02763617193961,Egypt
2000,EGY,Rural grid cells,3.2151211340352086,Egypt
2000,EGY,Urban cluster,28.394774694025177,Egypt
2005,EGY,Urban centre,45.58259264726483,Egypt
2005,EGY,Rural grid cells,3.174154441578222,Egypt
2005,EGY,Urban cluster,29.545667911156936,Egypt
2010,EGY,Urban centre,53.14224665895811,Egypt
2010,EGY,Rural grid cells,3.1696310471891014,Egypt
2010,EGY,Urban cluster,30.027060293852788,Egypt
2015,EGY,Urban centre,62.15285934149605,Egypt
2015,EGY,Rural grid cells,3.318177537665587,Egypt
2015,EGY,Urban cluster,31.204364120838374,Egypt
2020,EGY,Urban centre,70.99067612203197,Egypt
2020,EGY,Rural grid cells,3.331863097554606,Egypt
2020,EGY,Urban cluster,32.21617978041341,Egypt
1950,ERI,Urban centre,0.29979784403935605,Eritrea
1950,ERI,Rural grid cells,0.35683372072520114,Eritrea
1950,ERI,Urban cluster,0.1600724352354429,Eritrea
1955,ERI,Urban centre,0.3269610351486803,Eritrea
1955,ERI,Rural grid cells,0.38665876402935695,Eritrea
1955,ERI,Urban cluster,0.17292920082196292,Eritrea
1960,ERI,Urban centre,0.3673600677468211,Eritrea
1960,ERI,Rural grid cells,0.42202978916844214,Eritrea
1960,ERI,Urban cluster,0.19280114308473695,Eritrea
1965,ERI,Urban centre,0.4233417383757493,Eritrea
1965,ERI,Rural grid cells,0.4634890011343725,Eritrea
1965,ERI,Urban cluster,0.22084926048987824,Eritrea
1970,ERI,Urban centre,0.4912927523000535,Eritrea
1970,ERI,Rural grid cells,0.5097868779371704,Eritrea
1970,ERI,Urban cluster,0.2552173697627761,Eritrea
1975,ERI,Urban centre,0.5734916198127941,Eritrea
1975,ERI,Rural grid cells,0.5612749360923456,Eritrea
1975,ERI,Urban cluster,0.2970474440948603,Eritrea
1980,ERI,Urban centre,0.6158690489444576,Eritrea
1980,ERI,Rural grid cells,0.617841617803741,Eritrea
1980,ERI,Urban cluster,0.40177233325180156,Eritrea
1985,ERI,Urban centre,0.770863578462835,Eritrea
1985,ERI,Rural grid cells,0.6555422514267137,Eritrea
1985,ERI,Urban cluster,0.44814717011045124,Eritrea
1990,ERI,Urban centre,0.9956476908047378,Eritrea
1990,ERI,Rural grid cells,0.6920874430780037,Eritrea
1990,ERI,Urban cluster,0.4388558661172583,Eritrea
1995,ERI,Urban centre,1.0857433752789578,Eritrea
1995,ERI,Rural grid cells,0.5869404661988746,Eritrea
1995,ERI,Urban cluster,0.3866721585221681,Eritrea
2000,ERI,Urban centre,1.3038303776181235,Eritrea
2000,ERI,Rural grid cells,0.5926994679474504,Eritrea
2000,ERI,Urban cluster,0.48097615443442615,Eritrea
2005,ERI,Urban centre,1.5068277819751743,Eritrea
2005,ERI,Rural grid cells,0.7208205547512928,Eritrea
2005,ERI,Urban cluster,0.5710976632735325,Eritrea
2010,ERI,Urban centre,1.630795617151641,Eritrea
2010,ERI,Rural grid cells,0.830696607265457,Eritrea
2010,ERI,Urban cluster,0.651592775582902,Eritrea
2015,ERI,Urban centre,1.55231151506017,Eritrea
2015,ERI,Rural grid cells,0.9793625063015461,Eritrea
2015,ERI,Urban cluster,0.7948629786382839,Eritrea
2020,ERI,Urban centre,1.4455306112370911,Eritrea
2020,ERI,Rural grid cells,1.2239484079673242,Eritrea
2020,ERI,Urban cluster,0.8541739807955849,Eritrea
1950,ESH,Rural grid cells,0.012371,Western Sahara
1955,ESH,Rural grid cells,0.011247128186700817,Western Sahara
1955,ESH,Urban cluster,0.008474871813299185,Western Sahara
1960,ESH,Rural grid cells,0.01701672344209345,Western Sahara
1960,ESH,Urban cluster,0.014483276557906549,Western Sahara
1965,ESH,Rural grid cells,0.02495559636552645,Western Sahara
1965,ESH,Urban cluster,0.02409240363447355,Western Sahara
1970,ESH,Rural grid cells,0.0350168937797377,Western Sahara
1970,ESH,Urban cluster,0.03879210622026229,Western Sahara
1975,ESH,Rural grid cells,0.03663330875220045,Western Sahara
1975,ESH,Urban cluster,0.038991691247799554,Western Sahara
1980,ESH,Rural grid cells,0.03917101539588321,Western Sahara
1980,ESH,Urban cluster,0.07244098460411678,Western Sahara
1985,ESH,Rural grid cells,0.036949091397816144,Western Sahara
1985,ESH,Urban cluster,0.11044790860218387,Western Sahara
1990,ESH,Rural grid cells,0.0259710949058565,Western Sahara
1990,ESH,Urban cluster,0.1495979050941435,Western Sahara
1995,ESH,Rural grid cells,0.02865740880851794,Western Sahara
1995,ESH,Urban cluster,0.17445659119148207,Western Sahara
2000,ESH,Rural grid cells,0.035192386758377256,Western Sahara
2000,ESH,Urban cluster,0.22850261324162274,Western Sahara
2005,ESH,Urban centre,0.051977228798288554,Western Sahara
2005,ESH,Rural grid cells,0.040585130357941014,Western Sahara
2005,ESH,Urban cluster,0.23956164084377043,Western Sahara
2010,ESH,Urban centre,0.12650338644315107,Western Sahara
2010,ESH,Rural grid cells,0.046814094848807095,Western Sahara
2010,ESH,Urban cluster,0.23214651870804182,Western Sahara
2015,ESH,Urban centre,0.21213171507834652,Western Sahara
2015,ESH,Rural grid cells,0.04280527578364944,Western Sahara
2015,ESH,Urban cluster,0.23001600913800407,Western Sahara
2020,ESH,Urban centre,0.2145508952091385,Western Sahara
2020,ESH,Rural grid cells,0.04988573984305513,Western Sahara
2020,ESH,Urban cluster,0.28680836494780637,Western Sahara
1950,ESP,Urban centre,10.051445551938578,Spain
1950,ESP,Rural grid cells,9.34661553087166,Spain
1950,ESP,Urban cluster,8.61750191718976,Spain
1955,ESP,Urban centre,10.818565226765518,Spain
1955,ESP,Rural grid cells,9.434939394635604,Spain
1955,ESP,Urban cluster,8.72338037859888,Spain
1960,ESP,Urban centre,11.788367856936892,Spain
1960,ESP,Rural grid cells,9.533572641935377,Spain
1960,ESP,Urban cluster,8.973403501127729,Spain
1965,ESP,Urban centre,12.951724596065768,Spain
1965,ESP,Rural grid cells,9.635646127097694,Spain
1965,ESP,Urban cluster,9.348183276836535,Spain
1970,ESP,Urban centre,14.160371065734159,Spain
1970,ESP,Rural grid cells,9.724205601454697,Spain
1970,ESP,Urban cluster,9.75367233281114,Spain
1975,ESP,Urban centre,15.507760515263097,Spain
1975,ESP,Rural grid cells,9.80712450628878,Spain
1975,ESP,Urban cluster,10.258695978448122,Spain
1980,ESP,Urban centre,16.880354667362706,Spain
1980,ESP,Rural grid cells,9.915810187741734,Spain
1980,ESP,Urban cluster,10.546195144895563,Spain
1985,ESP,Urban centre,17.61920809131527,Spain
1985,ESP,Rural grid cells,10.041564642538109,Spain
1985,ESP,Urban cluster,10.747531266146616,Spain
1990,ESP,Urban centre,18.0334681416013,Spain
1990,ESP,Rural grid cells,10.036326798320703,Spain
1990,ESP,Urban cluster,10.804383060077997,Spain
1995,ESP,Urban centre,18.563946673597265,Spain
1995,ESP,Rural grid cells,9.997523388266988,Spain
1995,ESP,Urban cluster,11.160863938135744,Spain
2000,ESP,Urban centre,19.04307729413998,Spain
2000,ESP,Rural grid cells,9.890754411919948,Spain
2000,ESP,Urban cluster,11.699885293940069,Spain
2005,ESP,Urban centre,20.75391741118487,Spain
2005,ESP,Rural grid cells,10.324493383722478,Spain
2005,ESP,Urban cluster,12.252377205092646,Spain
2010,ESP,Urban centre,22.42610218585331,Spain
2010,ESP,Rural grid cells,10.643459968618643,Spain
2010,ESP,Urban cluster,13.41876784552805,Spain
2015,ESP,Urban centre,23.248561666171597,Spain
2015,ESP,Rural grid cells,10.316348536956559,Spain
2015,ESP,Urban cluster,12.868186796871845,Spain
2020,ESP,Urban centre,24.63223880784025,Spain
2020,ESP,Rural grid cells,10.121744178871229,Spain
2020,ESP,Urban cluster,12.575971013288523,Spain
1950,EST,Urban centre,0.4270829092898118,Estonia
1950,EST,Rural grid cells,0.3679452451156027,Estonia
1950,EST,Urban cluster,0.2998028455945855,Estonia
1955,EST,Urban centre,0.4662511561658257,Estonia
1955,EST,Rural grid cells,0.3765827817488982,Estonia
1955,EST,Urban cluster,0.31929206208527616,Estonia
1960,EST,Urban centre,0.4945232720859995,Estonia
1960,EST,Rural grid cells,0.38380740972583777,Estonia
1960,EST,Urban cluster,0.3322093181881629,Estonia
1965,EST,Urban centre,0.5368847928050068,Estonia
1965,EST,Rural grid cells,0.392357767341301,Estonia
1965,EST,Urban cluster,0.355769439853692,Estonia
1970,EST,Urban centre,0.5764710343058544,Estonia
1970,EST,Rural grid cells,0.40046674826454337,Estonia
1970,EST,Urban cluster,0.3788782174296022,Estonia
1975,EST,Urban centre,0.6103860661714818,Estonia
1975,EST,Rural grid cells,0.408117762055636,Estonia
1975,EST,Urban cluster,0.39987317177288234,Estonia
1980,EST,Urban centre,0.6775337063533653,Estonia
1980,EST,Rural grid cells,0.4168500699893284,Estonia
1980,EST,Urban cluster,0.3784672236573063,Estonia
1985,EST,Urban centre,0.6530356332065945,Estonia
1985,EST,Rural grid cells,0.44422186033479105,Estonia
1985,EST,Urban cluster,0.4238895064586145,Estonia
1990,EST,Urban centre,0.6069272264330091,Estonia
1990,EST,Rural grid cells,0.489702825243384,Estonia
1990,EST,Urban cluster,0.474074948323607,Estonia
1995,EST,Urban centre,0.5540979636087312,Estonia
1995,EST,Rural grid cells,0.47506008931191307,Estonia
1995,EST,Urban cluster,0.4335769470793558,Estonia
2000,EST,Urban centre,0.5083371930576952,Estonia
2000,EST,Rural grid cells,0.48664139200573125,Estonia
2000,EST,Urban cluster,0.4061804149365735,Estonia
2005,EST,Urban centre,0.45515252650884813,Estonia
2005,EST,Rural grid cells,0.48559368505716355,Estonia
2005,EST,Urban cluster,0.4179787884339885,Estonia
2010,EST,Urban centre,0.45042248829518394,Estonia
2010,EST,Rural grid cells,0.49065811396793946,Estonia
2010,EST,Urban cluster,0.3923293977368766,Estonia
2015,EST,Urban centre,0.4724080943561827,Estonia
2015,EST,Rural grid cells,0.48001972834889456,Estonia
2015,EST,Urban cluster,0.3608271772949226,Estonia
2020,EST,Urban centre,0.5143216715019944,Estonia
2020,EST,Rural grid cells,0.46641917637732033,Estonia
2020,EST,Urban cluster,0.34834515212068545,Estonia
1950,ETH,Urban centre,1.9284406288614435,Ethiopia
